FIPSCode;BoroCode;GeogName;GeoID;Pop2;Pop2P;Hsp1;Hsp1P;WNH;WNHP;BNH;BNHP;ANH;ANHP;ONH;ONHP;TwoPlNH;TwoPlNHP
061;1;Manhattan;1;1694251;100;402640;23,8;793294;46,8;199592;11,8;219624;13;16112;1;62989;3,7
061;1;Manhattan;10001001000;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10001001001;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10002010001;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10002011000;801;100;116;14,5;202;25,2;34;4,2;422;52,7;8;1;19;2,4
061;1;Manhattan;10002011001;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10002012000;1186;100;650;54,8;18;1,5;210;17,7;280;23,6;3;0,3;25;2,1
061;1;Manhattan;10002012001;25;100;18;72;1;4;0;;0;;0;;6;24
061;1;Manhattan;10002012002;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10002012003;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10002012004;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10002020001;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10002021000;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10002021001;410;100;145;35,4;97;23,7;55;13,4;101;24,6;6;1,5;6;1,5
061;1;Manhattan;10002021002;96;100;25;26;30;31,3;22;22,9;12;12,5;3;3,1;4;4,2
061;1;Manhattan;10002021003;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10002021004;248;100;66;26,6;49;19,8;15;6;107;43,1;2;0,8;9;3,6
061;1;Manhattan;10002022000;863;100;397;46;24;2,8;155;18;258;29,9;0;;29;3,4
061;1;Manhattan;10002022001;788;100;387;49,1;30;3,8;127;16,1;229;29,1;6;0,8;9;1,1
061;1;Manhattan;10002023000;553;100;272;49,2;19;3,4;90;16,3;171;30,9;0;;1;0,2
061;1;Manhattan;10002023001;673;100;370;55;21;3,1;110;16,3;162;24,1;3;0,4;7;1
061;1;Manhattan;10002024000;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10002024001;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10002024002;44;100;23;52,3;2;4,5;0;;7;15,9;1;2,3;11;25
061;1;Manhattan;10002024003;2075;100;462;22,3;1047;50,5;159;7,7;332;16;26;1,3;49;2,4
061;1;Manhattan;10002025000;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10002026000;270;100;91;33,7;29;10,7;20;7,4;123;45,6;1;0,4;6;2,2
061;1;Manhattan;10002026001;267;100;94;35,2;40;15;18;6,7;98;36,7;8;3;9;3,4
061;1;Manhattan;10002026002;162;100;52;32,1;46;28,4;48;29,6;4;2,5;3;1,9;9;5,6
061;1;Manhattan;10002026003;557;100;218;39,1;103;18,5;92;16,5;131;23,5;3;0,5;10;1,8
061;1;Manhattan;10002026004;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10002026005;260;100;81;31,2;38;14,6;31;11,9;97;37,3;5;1,9;8;3,1
061;1;Manhattan;10002026006;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10002026007;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005000001;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005000002;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005000003;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005000004;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001000;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001001;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001002;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001003;1;100;0;;0;;0;;0;;0;;1;100
061;1;Manhattan;10005001004;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001005;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001006;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001007;1;100;0;;0;;1;100;0;;0;;0;
061;1;Manhattan;10005001008;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001009;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001010;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001011;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001012;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001013;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001014;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001015;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001016;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001017;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001018;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001019;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001020;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001021;2;100;0;;0;;0;;2;100;0;;0;
061;1;Manhattan;10005001022;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001023;1;100;0;;0;;0;;0;;0;;1;100
061;1;Manhattan;10005001024;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001025;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001026;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001027;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001028;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001029;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001030;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005001031;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005002000;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005002001;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005002002;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005002003;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005002004;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005002005;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005002006;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10005002007;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10006000001;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10006000002;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10006001000;501;100;51;10,2;96;19,2;4;0,8;324;64,7;2;0,4;24;4,8
061;1;Manhattan;10006001001;1056;100;61;5,8;164;15,5;11;1;797;75,5;9;0,9;14;1,3
061;1;Manhattan;10006001002;327;100;45;13,8;50;15,3;8;2,4;207;63,3;6;1,8;11;3,4
061;1;Manhattan;10006002000;1035;100;345;33,3;29;2,8;190;18,4;457;44,2;3;0,3;11;1,1
061;1;Manhattan;10006002001;666;100;204;30,6;20;3;130;19,5;304;45,6;0;;8;1,2
061;1;Manhattan;10006002002;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10006002003;2393;100;796;33,3;248;10,4;421;17,6;877;36,6;9;0,4;42;1,8
061;1;Manhattan;10006002004;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10006002005;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10006002006;25;100;14;56;0;;8;32;0;;3;12;0;
061;1;Manhattan;10006003000;384;100;36;9,4;112;29,2;6;1,6;213;55,5;0;;17;4,4
061;1;Manhattan;10006003001;514;100;48;9,3;95;18,5;6;1,2;348;67,7;0;;17;3,3
061;1;Manhattan;10006003002;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10006004000;266;100;77;28,9;41;15,4;39;14,7;107;40,2;2;0,8;0;
061;1;Manhattan;10006004001;1054;100;39;3,7;97;9,2;10;0,9;880;83,5;3;0,3;25;2,4
061;1;Manhattan;10006005000;1080;100;458;42,4;36;3,3;177;16,4;384;35,6;7;0,6;18;1,7
061;1;Manhattan;10006005001;573;100;271;47,3;16;2,8;108;18,8;164;28,6;11;1,9;3;0,5
061;1;Manhattan;10006006000;1742;100;501;28,8;141;8,1;109;6,3;965;55,4;9;0,5;17;1
061;1;Manhattan;10006006001;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10006006002;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10006006003;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10007000001;0;;0;;0;;0;;0;;0;;0;
